DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
-0.03,1569295251036.0,1,0,1
-0.03,1569295251486.0,1,0,1
-0.03,1569295251946.0,1,0,1
-0.03,1569295252406.0,1,0,1
-0.03,1569295252866.0,1,0,1
-0.03,1569295253326.0,1,0,1
-0.03,1569295253786.0,1,0,1
-0.03,1569295254256.0,1,0,1
0.27,1569295254716.0,1,0,1
1.1400000000000001,1569295255176.0,1,0,1
1.17,1569295255636.0,1,0,1
1.17,1569295256096.0,1,0,1
0.5700000000000001,1569295256557.0,1,0,1
0.21,1569295257017.0,1,0,1
0.54,1569295257477.0,1,0,1
0.93,1569295257936.0,1,0,1
0.63,1569295258396.0,1,0,1
1.2,1569295258867.0,1,0,1
1.29,1569295259326.0,1,0,1
1.26,1569295259796.0,1,0,1
1.26,1569295260256.0,0,0,1
1.26,1569295260716.0,0,0,1
1.32,1569295261180.0,0,0,1
1.35,1569295261636.0,0,0,1
1.41,1569295262107.0,0,0,1
1.44,1569295262567.0,0,0,1
1.5,1569295263027.0,0,0,1
1.53,1569295263497.0,0,0,1
1.56,1569295263956.0,0,0,1
1.59,1569295264427.0,0,0,1
1.62,1569295264887.0,0,0,1
1.6500000000000001,1569295265346.0,0,0,1
1.68,1569295265807.0,0,0,1
1.68,1569295266266.0,0,0,1
1.71,1569295266726.0,0,0,1
1.71,1569295267186.0,0,0,1
1.74,1569295267647.0,0,0,1
1.74,1569295268106.0,0,0,1
1.74,1569295268566.0,0,0,1
1.74,1569295269027.0,0,0,1
1.74,1569295269486.0,0,0,1
1.74,1569295269946.0,0,0,1
1.74,1569295270406.0,0,0,1
1.74,1569295270867.0,0,0,1
1.74,1569295271327.0,0,0,1
1.74,1569295271797.0,0,0,1
1.74,1569295272246.0,0,0,1
1.74,1569295272706.0,0,0,1
1.74,1569295273167.0,0,0,1
1.74,1569295273637.0,0,0,1
1.74,1569295274119.0,0,0,1
1.77,1569295274547.0,0,0,1
1.77,1569295275006.0,0,0,1
1.77,1569295275467.0,0,0,1
1.77,1569295275936.0,0,0,1
1.77,1569295276397.0,0,0,1
1.77,1569295276857.0,0,0,1
1.77,1569295277330.0,0,0,1
1.77,1569295277776.0,0,0,1
1.77,1569295278237.0,0,0,1
1.77,1569295278696.0,0,0,1
1.77,1569295279167.0,0,0,1
1.77,1569295279629.0,0,0,1
1.77,1569295280087.0,0,0,1
1.77,1569295280546.0,0,0,1
1.77,1569295281006.0,0,0,1
1.77,1569295281491.0,0,0,1
1.77,1569295281937.0,0,0,1
1.77,1569295282396.0,0,0,1
1.8,1569295282846.0,0,0,1
1.8,1569295283306.0,0,0,1
1.8,1569295283767.0,0,0,1
1.8,1569295284227.0,0,0,1
1.8,1569295284686.0,0,0,1
1.8,1569295285156.0,0,0,1
1.8,1569295285616.0,0,0,1
1.8,1569295286076.0,0,0,1
1.8,1569295286536.0,0,0,1
1.8,1569295286996.0,0,0,1
1.8,1569295287456.0,0,0,1
1.8,1569295287926.0,0,0,1
1.8,1569295288387.0,0,0,1
1.8,1569295288846.0,0,0,1
1.8,1569295289310.0,0,0,1
1.8,1569295289766.0,0,0,1
1.8,1569295290227.0,0,0,1
1.8,1569295290686.0,0,0,1
1.8,1569295291146.0,0,0,1
1.83,1569295291617.0,0,0,1
1.83,1569295292076.0,0,0,1
1.83,1569295292536.0,0,0,1
1.83,1569295292996.0,0,0,1
1.83,1569295293457.0,0,0,1
1.83,1569295293917.0,0,0,1
1.83,1569295294376.0,0,0,1
1.83,1569295294837.0,0,0,1
1.83,1569295295297.0,0,0,1
1.83,1569295295757.0,0,0,1
-0.03,1569295296216.0,0,0,1
-0.03,1569295296677.0,5,0,0
-0.03,1569295297136.0,5,0,0
-0.03,1569295297596.0,5,0,0
-0.03,1569295298056.0,5,0,0
-0.03,1569295298516.0,5,0,0
-0.03,1569295298976.0,5,0,0
-0.03,1569295299447.0,5,0,0
-0.03,1569295299907.0,5,0,0
-0.03,1569295300367.0,5,0,0
-0.03,1569295300817.0,5,0,0
-0.03,1569295301287.0,5,0,0
-0.03,1569295301747.0,5,0,0
-0.03,1569295302217.0,5,0,0
-0.03,1569295302676.0,5,0,0
-0.03,1569295303137.0,5,0,0
-0.03,1569295303597.0,5,0,0
-0.03,1569295304057.0,5,0,0
-0.03,1569295304517.0,5,0,0
-0.03,1569295304976.0,5,0,0
-0.03,1569295305446.0,5,0,0
-0.03,1569295305907.0,5,0,0
-0.03,1569295306357.0,5,0,0
-0.03,1569295306817.0,5,0,0
-0.03,1569295307267.0,5,0,0
-0.03,1569295307727.0,5,0,0
-0.03,1569295308196.0,5,0,0
-0.03,1569295308656.0,5,0,0
-0.03,1569295309117.0,5,0,0
-0.03,1569295309578.0,5,0,0
-0.03,1569295310040.0,5,0,0
-0.03,1569295310496.0,5,0,0
-0.03,1569295310957.0,5,0,0
