accPre_data,Timestamp,Action,Bump,Traffic congestion
19.2325,1577072559702,0,0,0
30.2225,1577072560192,1,0,0
33.755,1577072560642,1,0,0
33.755,1577072561132,1,0,0
35.7175,1577072561582,1,0,0
41.9975,1577072562082,1,0,0
41.605000000000004,1577072562532,1,0,0
41.605000000000004,1577072563023,1,0,0
41.605000000000004,1577072563462,1,0,0
41.605000000000004,1577072563952,1,0,0
41.605000000000004,1577072564402,1,0,0
41.605000000000004,1577072564892,1,0,0
41.2125,1577072565342,1,0,0
36.11,1577072565832,1,0,0
36.502500000000005,1577072566282,1,0,0
36.895,1577072566772,1,0,0
37.2875,1577072567222,1,0,0
37.2875,1577072567712,1,0,0
37.2875,1577072568162,1,0,0
37.68,1577072568652,1,0,0
37.68,1577072569102,1,0,0
37.68,1577072569592,1,0,0
37.68,1577072570042,1,0,0
37.68,1577072570532,1,0,0
38.0725,1577072570972,1,0,0
38.0725,1577072571462,1,0,0
38.0725,1577072571902,1,0,0
40.035000000000004,1577072572392,1,0,0
40.035000000000004,1577072572832,1,0,0
40.035000000000004,1577072573332,1,0,0
40.035000000000004,1577072573782,1,0,0
40.035000000000004,1577072574272,1,0,0
40.035000000000004,1577072574712,1,0,0
40.035000000000004,1577072575202,1,0,0
40.035000000000004,1577072575642,1,0,0
40.035000000000004,1577072576142,1,0,0
40.035000000000004,1577072576592,1,0,0
40.035000000000004,1577072577082,1,0,0
40.035000000000004,1577072577531,1,0,0
40.035000000000004,1577072578022,1,0,0
40.035000000000004,1577072578461,1,0,0
40.035000000000004,1577072578951,1,0,0
40.035000000000004,1577072579401,1,0,0
40.035000000000004,1577072579891,1,0,0
