DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
2010.5,1569321333769.0,6,0,0
1747.0,1569321334239.0,6,0,0
1311.5,1569321334699.0,6,0,0
1337.5,1569321335159.0,6,0,0
1352.0,1569321335619.0,6,0,0
1372.5,1569321336079.0,6,0,0
1378.0,1569321336539.0,6,0,0
1405.0,1569321336999.0,6,0,0
1419.5,1569321337459.0,1,0,0
1403.0,1569321337919.0,1,0,0
1301.5,1569321338379.0,1,0,0
1215.5,1569321338839.0,1,0,0
1138.0,1569321339299.0,1,0,0
1074.5,1569321339759.0,1,0,0
999.5,1569321340229.0,1,0,0
958.0,1569321340689.0,1,0,0
939.0,1569321341149.0,1,0,0
892.0,1569321341609.0,5,0,0
883.0,1569321342069.0,5,0,0
864.5,1569321342529.0,5,0,0
1155.0,1569321342989.0,5,0,0
1290.5,1569321343439.0,5,0,0
1330.0,1569321343899.0,5,0,0
