speed_data,Timestamp,Action,Bump,Traffic congestion
21,1576223855865,3,0,0
21,1576223856315,3,0,0
21,1576223856766,3,0,0
22,1576223857215,3,0,0
22,1576223857655,3,0,0
22,1576223858095,3,0,0
22,1576223858545,3,0,0
23,1576223858995,3,0,0
24,1576223859435,3,0,0
25,1576223859885,1,0,0
25,1576223860335,1,0,0
25,1576223860786,1,0,0
25,1576223861235,1,0,0
25,1576223861685,1,0,0
25,1576223862125,1,0,0
25,1576223862575,1,0,0
25,1576223863015,1,0,0
25,1576223863455,1,0,0
25,1576223863895,1,0,0
25,1576223864335,1,0,0
25,1576223864775,1,0,0
25,1576223865225,1,0,0
25,1576223865665,1,0,0
25,1576223866115,1,0,0
25,1576223866555,1,0,0
25,1576223867005,1,0,0
26,1576223867445,1,0,0
26,1576223867885,1,0,0
26,1576223868325,1,0,0
26,1576223868775,1,0,0
26,1576223869215,1,0,0
26,1576223869655,1,0,0
26,1576223870095,1,0,0
26,1576223870535,1,0,0
27,1576223870985,1,0,0
28,1576223871425,1,0,0
29,1576223871875,1,0,0
29,1576223872325,1,0,0
30,1576223872775,1,0,0
31,1576223873225,1,0,0
31,1576223873675,1,0,0
31,1576223874125,1,0,0
32,1576223874575,1,0,0
32,1576223875025,1,0,0
33,1576223875475,1,0,0
33,1576223875925,1,0,0
33,1576223876375,1,0,0
34,1576223876825,1,0,0
34,1576223877275,1,0,0
34,1576223877725,1,0,0
34,1576223878175,1,0,0
33,1576223878625,1,0,0
33,1576223879075,1,0,0
33,1576223879525,1,0,0
32,1576223879975,1,0,0
32,1576223880425,1,0,0
33,1576223880865,1,0,0
32,1576223881315,1,0,0
32,1576223881765,1,0,0
32,1576223882215,1,0,0
31,1576223882665,1,0,0
31,1576223883115,1,0,0
31,1576223883565,1,0,0
31,1576223884015,1,0,0
31,1576223884455,1,0,0
32,1576223884895,1,0,0
32,1576223885335,1,0,0
33,1576223885785,1,0,0
33,1576223886225,1,0,0
32,1576223886665,1,0,0
31,1576223887115,1,0,0
31,1576223887565,1,0,0
30,1576223888015,1,0,0
30,1576223888465,1,0,0
30,1576223888905,1,0,0
30,1576223889355,1,0,0
30,1576223889795,1,0,0
29,1576223890235,1,0,0
29,1576223890685,1,0,0
29,1576223891125,1,0,0
29,1576223891565,1,0,0
29,1576223892015,1,0,0
30,1576223892455,1,0,0
30,1576223892895,1,0,0
31,1576223893335,1,0,0
31,1576223893775,1,0,0
32,1576223894225,1,0,0
32,1576223894675,1,0,0
33,1576223895115,1,0,0
33,1576223895565,1,0,0
33,1576223896015,1,0,0
34,1576223896455,4,0,0
35,1576223896905,4,0,0
35,1576223897355,4,0,0
35,1576223897795,4,0,0
35,1576223898245,4,0,0
34,1576223898695,4,0,0
34,1576223899145,4,0,0
35,1576223899595,4,0,0
34,1576223900045,4,0,0
34,1576223900495,4,0,0
33,1576223900945,4,0,0
33,1576223901395,4,0,0
33,1576223901845,4,0,0
33,1576223902295,4,0,0
33,1576223902745,4,0,0
33,1576223903195,4,0,0
33,1576223903645,4,0,0
33,1576223904095,4,0,0
34,1576223904545,4,0,0
34,1576223904995,1,0,0
34,1576223905445,1,0,0
34,1576223905895,1,0,0
35,1576223906345,1,0,0
35,1576223906795,1,0,0
35,1576223907245,1,0,0
35,1576223907695,1,0,0
36,1576223908145,1,0,0
36,1576223908595,1,0,0
36,1576223909045,1,0,0
37,1576223909495,1,0,0
37,1576223909945,1,0,0
37,1576223910395,1,0,0
38,1576223910845,1,0,0
38,1576223911295,1,0,0
38,1576223911745,1,0,0
39,1576223912195,1,0,0
39,1576223912645,1,0,0
39,1576223913095,1,0,0
40,1576223913545,1,0,0
40,1576223913997,1,0,0
40,1576223914446,1,0,0
40,1576223914896,1,0,0
41,1576223915346,1,0,0
41,1576223915796,1,0,0
41,1576223916246,1,0,0
42,1576223916696,1,0,0
42,1576223917145,1,0,0
42,1576223917596,1,0,0
43,1576223918045,1,0,0
43,1576223918496,1,0,0
44,1576223918945,1,0,0
43,1576223919396,1,0,0
44,1576223919845,1,0,0
44,1576223920296,1,0,0
45,1576223920745,1,0,0
45,1576223921196,1,0,0
46,1576223921645,1,0,0
46,1576223922096,1,0,0
47,1576223922545,1,0,0
47,1576223922996,1,0,0
48,1576223923445,1,0,0
49,1576223923896,1,0,0
49,1576223924345,1,0,0
48,1576223924796,1,0,0
48,1576223925245,1,0,0
47,1576223925696,1,0,0
47,1576223926146,1,0,0
47,1576223926596,1,0,0
47,1576223927055,1,0,0
47,1576223927516,1,0,0
47,1576223927965,1,0,0
47,1576223928416,1,0,0
47,1576223928865,1,0,0
47,1576223929315,1,0,0
47,1576223929765,1,0,0
47,1576223930216,1,0,0
48,1576223930665,1,0,0
48,1576223931116,1,0,0
48,1576223931565,1,0,0
47,1576223932016,1,0,0
48,1576223932465,1,0,0
48,1576223932915,1,0,0
48,1576223933365,1,0,0
48,1576223933815,1,0,0
48,1576223934265,1,0,0
48,1576223934715,1,0,0
48,1576223935165,1,0,0
48,1576223935615,1,0,0
48,1576223936065,1,0,0
48,1576223936515,1,0,0
48,1576223936965,1,0,0
48,1576223937415,1,0,0
47,1576223937865,1,0,0
47,1576223938315,1,0,0
48,1576223938765,1,0,0
48,1576223939215,1,0,0
49,1576223939675,1,0,0
49,1576223940125,1,0,0
50,1576223940575,1,0,0
50,1576223941025,1,0,0
51,1576223941475,1,0,0
51,1576223941925,1,0,0
52,1576223942376,1,0,0
52,1576223942825,1,0,0
53,1576223943275,1,0,0
53,1576223943725,1,0,0
54,1576223944175,1,0,0
54,1576223944625,1,0,0
54,1576223945075,1,0,0
54,1576223945525,1,0,0
54,1576223945965,1,0,0
55,1576223946415,1,0,0
55,1576223946865,1,0,0
55,1576223947315,1,0,0
55,1576223947765,1,0,0
55,1576223948215,1,0,0
55,1576223948665,1,0,0
55,1576223949115,1,0,0
56,1576223949565,1,0,0
56,1576223950015,1,0,0
56,1576223950465,1,0,0
56,1576223950915,1,0,0
56,1576223951365,1,0,0
57,1576223951815,1,0,0
57,1576223952265,1,0,0
56,1576223952715,1,0,0
56,1576223953165,1,0,0
55,1576223953605,1,0,0
55,1576223954045,1,0,0
54,1576223954495,1,0,0
54,1576223954945,1,0,0
54,1576223955395,1,0,0
54,1576223955845,1,0,0
54,1576223956286,1,0,0
53,1576223956735,1,0,0
53,1576223957185,1,0,0
53,1576223957625,1,0,0
53,1576223958075,1,0,0
52,1576223958525,1,0,0
52,1576223958975,1,0,0
52,1576223959425,1,0,0
52,1576223959835,1,0,0
52,1576223960285,1,0,0
52,1576223960735,1,0,0
51,1576223961185,1,0,0
51,1576223961625,1,0,0
51,1576223962075,1,0,0
51,1576223962515,1,0,0
51,1576223962955,1,0,0
51,1576223963395,1,0,0
50,1576223963845,1,0,0
50,1576223964295,1,0,0
50,1576223964745,1,0,0
50,1576223965185,1,0,0
50,1576223965635,1,0,0
50,1576223966085,1,0,0
50,1576223966535,1,0,0
50,1576223966985,1,0,0
50,1576223967435,1,0,0
50,1576223967885,1,0,0
50,1576223968335,1,0,0
50,1576223968785,1,0,0
50,1576223969235,1,0,0
50,1576223969685,1,0,0
50,1576223970135,1,0,0
51,1576223970585,1,0,0
51,1576223971035,1,0,0
51,1576223971485,1,0,0
51,1576223971935,1,0,0
51,1576223972385,1,0,0
50,1576223972835,1,0,0
51,1576223973285,1,0,0
50,1576223973735,1,0,0
51,1576223974185,1,0,0
51,1576223974635,1,0,0
51,1576223975085,1,0,0
51,1576223975535,1,0,0
51,1576223975985,1,0,0
51,1576223976435,1,0,0
50,1576223976885,1,0,0
50,1576223977335,1,0,0
50,1576223977785,1,0,0
50,1576223978235,1,0,0
50,1576223978685,1,0,0
50,1576223979135,1,0,0
50,1576223979585,1,0,0
50,1576223980035,1,0,0
50,1576223980485,1,0,0
50,1576223980935,1,0,0
49,1576223981385,1,0,0
49,1576223981835,1,0,0
48,1576223982285,1,0,0
49,1576223982735,1,0,0
49,1576223983185,1,0,0
49,1576223983635,1,0,0
49,1576223984085,1,0,0
48,1576223984535,1,0,0
48,1576223984985,1,0,0
48,1576223985435,1,0,0
47,1576223985885,1,0,0
47,1576223986335,1,0,0
47,1576223986785,1,0,0
46,1576223987235,1,0,0
45,1576223987685,1,0,0
44,1576223988135,1,0,0
42,1576223988585,5,0,0
40,1576223989035,5,0,0
38,1576223989485,5,0,0
36,1576223989935,5,0,0
34,1576223990385,5,0,0
33,1576223990835,5,0,0
31,1576223991285,5,0,0
29,1576223991735,5,0,0
29,1576223992185,5,0,0
28,1576223992635,5,0,0
28,1576223993085,5,0,0
27,1576223993535,5,0,0
27,1576223993985,5,0,0
27,1576223994434,5,0,0
26,1576223994885,5,0,0
26,1576223995334,5,0,0
25,1576223995785,5,0,0
26,1576223996234,1,0,0
26,1576223996685,1,0,0
26,1576223997135,1,0,0
27,1576223997585,1,0,0
27,1576223998034,1,0,0
27,1576223998485,1,0,0
26,1576223998935,1,0,0
26,1576223999385,1,0,0
25,1576223999834,1,0,0
25,1576224000285,1,0,0
25,1576224000734,1,0,0
25,1576224001185,1,0,0
