DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
-0.532,1569400835368.0,2,0,0
-1.125,1569400835828.0,2,0,0
-1.125,1569400836298.0,2,0,0
-0.8130000000000001,1569400836747.0,2,0,0
-0.125,1569400837227.0,2,0,0
0.375,1569400837674.0,2,0,0
0.718,1569400838129.0,1,0,0
0.937,1569400838587.0,1,0,0
0.843,1569400839058.0,1,0,0
0.781,1569400839508.0,1,0,0
0.75,1569400839968.0,1,0,0
0.406,1569400840438.0,5,0,0
0.187,1569400840888.0,5,0,0
0.218,1569400841358.0,5,0,0
0.156,1569400841818.0,5,0,0
0.218,1569400842276.0,5,0,0
0.25,1569400842726.0,5,0,0
0.312,1569400843198.0,5,0,0
0.312,1569400843656.0,5,0,0
0.312,1569400844118.0,5,0,0
0.281,1569400844576.0,5,0,0
0.062,1569400845038.0,5,0,0
-0.125,1569400845508.0,5,0,0
-0.28200000000000003,1569400845968.0,1,0,0
-0.25,1569400846428.0,1,0,0
-0.25,1569400846890.0,1,0,0
-0.219,1569400847347.0,1,0,0
-0.188,1569400847807.0,1,0,0
-0.188,1569400848268.0,1,0,0
-0.188,1569400848728.0,1,0,0
-0.157,1569400849198.0,1,0,0
-0.657,1569400849647.0,2,0,0
-0.657,1569400850108.0,2,0,0
-0.125,1569400850577.0,2,0,0
-0.157,1569400851037.0,2,0,0
-0.188,1569400851497.0,2,0,0
-0.40700000000000003,1569400851959.0,2,0,0
-0.5,1569400852418.0,2,0,0
-0.594,1569400852878.0,2,0,0
-0.75,1569400853338.0,2,0,0
-0.594,1569400853798.0,2,0,0
-0.34400000000000003,1569400854258.0,2,0,0
-0.188,1569400854717.0,2,0,0
0.281,1569400855177.0,2,0,0
0.468,1569400855637.0,2,0,0
0.5,1569400856096.0,1,0,0
0.468,1569400856557.0,1,0,0
0.0,1569400857018.0,1,0,0
-0.032,1569400857478.0,1,0,0
-0.063,1569400857936.0,2,0,0
-0.032,1569400858397.0,2,0,0
-0.063,1569400858859.0,2,0,0
0.0,1569400859330.0,2,0,0
0.0,1569400859777.0,2,0,0
-0.094,1569400860237.0,2,0,0
-0.313,1569400860697.0,2,0,0
-0.438,1569400861157.0,2,0,0
-0.375,1569400861617.0,2,0,0
-0.28200000000000003,1569400862078.0,2,0,0
-0.125,1569400862537.0,2,0,0
-0.094,1569400862998.0,1,0,0
-0.063,1569400863458.0,1,0,0
0.625,1569400863917.0,1,0,0
0.75,1569400864378.0,1,0,0
0.0,1569400864860.0,1,0,0
-0.032,1569400865327.0,1,0,0
-0.063,1569400865778.0,1,0,0
-0.063,1569400866237.0,3,0,0
-0.094,1569400866698.0,3,0,0
-0.063,1569400867157.0,3,0,0
-0.219,1569400867617.0,3,0,0
-0.25,1569400868078.0,3,0,0
-0.5630000000000001,1569400868536.0,3,0,0
-0.9380000000000001,1569400868996.0,3,0,0
