DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
14.0,1569400464145.0,1,0,0
14.0,1569400464610.0,1,0,0
13.0,1569400465065.0,1,0,0
13.0,1569400465535.0,1,0,0
13.0,1569400465985.0,1,0,0
13.0,1569400466455.0,1,0,0
12.0,1569400466905.0,1,0,0
12.0,1569400467365.0,1,0,0
12.0,1569400467835.0,1,0,0
12.0,1569400468305.0,1,0,0
11.0,1569400468765.0,6,0,0
10.0,1569400469235.0,6,0,0
8.0,1569400469695.0,6,0,0
7.0,1569400470155.0,6,0,0
7.0,1569400470615.0,6,0,0
7.0,1569400471075.0,6,0,0
7.0,1569400471535.0,6,0,0
9.0,1569400471995.0,6,0,0
10.0,1569400472454.0,6,0,0
11.0,1569400472915.0,6,0,0
10.0,1569400473375.0,6,0,0
10.0,1569400473835.0,6,0,0
9.0,1569400474321.0,6,0,0
9.0,1569400474755.0,6,0,0
9.0,1569400475221.0,6,0,0
8.0,1569400475675.0,6,0,0
8.0,1569400476135.0,6,0,0
8.0,1569400476595.0,6,0,0
9.0,1569400477055.0,6,0,0
10.0,1569400477515.0,-1,0,0
11.0,1569400477975.0,-1,0,0
11.0,1569400478435.0,-1,0,0
12.0,1569400478895.0,-1,0,0
13.0,1569400479355.0,-1,0,0
14.0,1569400479815.0,-1,0,0
15.0,1569400480275.0,-1,0,0
16.0,1569400480735.0,-1,0,0
17.0,1569400481195.0,-1,0,0
18.0,1569400481665.0,-1,0,0
18.0,1569400482125.0,-1,0,0
19.0,1569400482585.0,-1,0,0
20.0,1569400483045.0,1,0,0
20.0,1569400483505.0,1,0,0
21.0,1569400483965.0,1,0,0
21.0,1569400484435.0,1,0,0
20.0,1569400484895.0,1,0,0
20.0,1569400485345.0,1,0,0
19.0,1569400485805.0,1,0,0
19.0,1569400486278.0,1,0,0
19.0,1569400486735.0,1,0,0
18.0,1569400487197.0,1,0,0
17.0,1569400487655.0,1,0,0
16.0,1569400488115.0,1,0,0
15.0,1569400488575.0,1,0,0
14.0,1569400489055.0,1,0,0
13.0,1569400489506.0,1,0,0
13.0,1569400489954.0,1,0,0
12.0,1569400490416.0,1,0,0
12.0,1569400490876.0,1,0,0
12.0,1569400491335.0,1,0,0
11.0,1569400491795.0,1,0,0
10.0,1569400492274.0,1,0,0
11.0,1569400492726.0,1,0,0
11.0,1569400493194.0,1,0,0
11.0,1569400493647.0,1,0,0
11.0,1569400494115.0,1,0,0
11.0,1569400494566.0,1,0,0
6.0,1569400495035.0,1,0,0
4.0,1569400495492.0,1,0,0
3.0,1569400495945.0,1,0,0
1.0,1569400496415.0,1,0,0
2.0,1569400496875.0,1,0,0
3.0,1569400497335.0,1,0,0
4.0,1569400497804.0,1,0,0
4.0,1569400498278.0,1,0,0
5.0,1569400498726.0,1,0,0
5.0,1569400499186.0,1,0,0
5.0,1569400499645.0,1,0,0
6.0,1569400500106.0,1,0,0
8.0,1569400500565.0,1,0,0
9.0,1569400501025.0,1,0,0
8.0,1569400501486.0,1,0,0
7.0,1569400501945.0,1,0,0
6.0,1569400502405.0,1,0,0
6.0,1569400502866.0,1,0,0
6.0,1569400503325.0,1,0,0
6.0,1569400503834.0,1,0,0
6.0,1569400504244.0,1,0,0
7.0,1569400504705.0,2,1,0
7.0,1569400505166.0,2,1,0
7.0,1569400505625.0,2,1,0
8.0,1569400506086.0,2,1,0
8.0,1569400506545.0,2,1,0
8.0,1569400507004.0,2,1,0
9.0,1569400507466.0,2,1,0
11.0,1569400507925.0,2,1,0
11.0,1569400508386.0,2,1,0
10.0,1569400508846.0,2,1,0
10.0,1569400509305.0,2,1,0
10.0,1569400509766.0,2,1,0
10.0,1569400510228.0,2,1,0
10.0,1569400510686.0,2,1,0
10.0,1569400511182.0,2,1,0
10.0,1569400511610.0,2,1,0
10.0,1569400512066.0,1,0,0
9.0,1569400512536.0,1,0,0
9.0,1569400512986.0,1,0,0
9.0,1569400513446.0,1,0,0
9.0,1569400513916.0,1,0,0
10.0,1569400514375.0,1,0,0
10.0,1569400514826.0,1,0,0
11.0,1569400515296.0,1,0,0
12.0,1569400515756.0,1,0,0
12.0,1569400516215.0,1,0,0
13.0,1569400516665.0,1,0,0
14.0,1569400517146.0,1,0,0
14.0,1569400517594.0,1,0,0
14.0,1569400518066.0,1,0,0
14.0,1569400518526.0,1,0,0
13.0,1569400518996.0,1,0,0
13.0,1569400519456.0,1,0,0
13.0,1569400519906.0,3,0,0
13.0,1569400520381.0,3,0,0
13.0,1569400520836.0,3,0,0
13.0,1569400521296.0,3,0,0
13.0,1569400521765.0,3,0,0
13.0,1569400522226.0,3,0,0
13.0,1569400522686.0,3,0,0
13.0,1569400523146.0,3,0,0
13.0,1569400523608.0,3,0,0
12.0,1569400524065.0,3,0,0
12.0,1569400524526.0,3,0,0
12.0,1569400524985.0,3,0,0
12.0,1569400525446.0,3,0,0
12.0,1569400525916.0,3,0,0
12.0,1569400526376.0,3,0,0
12.0,1569400526836.0,1,0,0
12.0,1569400527296.0,1,0,0
12.0,1569400527756.0,1,0,0
12.0,1569400528209.0,1,0,0
13.0,1569400528666.0,1,0,0
13.0,1569400529160.0,1,0,0
14.0,1569400529586.0,1,0,0
14.0,1569400530046.0,1,0,0
15.0,1569400530506.0,1,0,0
15.0,1569400530966.0,1,0,0
16.0,1569400531425.0,1,0,0
16.0,1569400531886.0,1,0,0
16.0,1569400532345.0,1,0,0
16.0,1569400532807.0,1,0,0
16.0,1569400533274.0,1,0,0
16.0,1569400533726.0,2,0,0
16.0,1569400534186.0,2,0,0
16.0,1569400534635.0,2,0,0
15.0,1569400535096.0,2,0,0
15.0,1569400535565.0,2,0,0
15.0,1569400536025.0,2,0,0
15.0,1569400536486.0,2,0,0
15.0,1569400536955.0,2,0,0
15.0,1569400537405.0,2,0,0
15.0,1569400537866.0,2,0,0
15.0,1569400538336.0,1,0,0
14.0,1569400538796.0,1,0,0
14.0,1569400539256.0,1,0,0
14.0,1569400539715.0,1,0,0
14.0,1569400540176.0,1,0,0
14.0,1569400540636.0,1,0,0
14.0,1569400541106.0,1,0,0
14.0,1569400541566.0,1,0,0
14.0,1569400542025.0,1,0,0
14.0,1569400542486.0,1,0,0
14.0,1569400542946.0,1,0,0
13.0,1569400543405.0,1,0,0
13.0,1569400543866.0,1,0,0
13.0,1569400544326.0,2,0,0
13.0,1569400544786.0,2,0,0
13.0,1569400545256.0,2,0,0
13.0,1569400545715.0,2,0,0
13.0,1569400546176.0,2,0,0
13.0,1569400546646.0,2,0,0
13.0,1569400547105.0,2,0,0
12.0,1569400547566.0,2,0,0
12.0,1569400548025.0,2,0,0
12.0,1569400548486.0,2,0,0
12.0,1569400548946.0,2,0,0
11.0,1569400549406.0,2,0,0
11.0,1569400549866.0,2,0,0
11.0,1569400550325.0,2,0,0
13.0,1569400550786.0,2,0,0
15.0,1569400551246.0,2,0,0
15.0,1569400551706.0,2,0,0
16.0,1569400552166.0,1,0,0
16.0,1569400552628.0,1,0,0
16.0,1569400553085.0,1,0,0
16.0,1569400553536.0,1,0,0
15.0,1569400553996.0,1,0,0
15.0,1569400554469.0,1,0,0
15.0,1569400554916.0,1,0,0
15.0,1569400555376.0,1,0,0
15.0,1569400555836.0,1,0,0
14.0,1569400556296.0,1,0,0
14.0,1569400556756.0,1,0,0
14.0,1569400557218.0,1,0,0
14.0,1569400557676.0,1,0,0
13.0,1569400558125.0,1,0,0
13.0,1569400558596.0,2,0,0
13.0,1569400559046.0,2,0,0
13.0,1569400559516.0,2,0,0
13.0,1569400559976.0,2,0,0
13.0,1569400560436.0,2,0,0
12.0,1569400560886.0,2,0,0
12.0,1569400561346.0,2,0,0
12.0,1569400561806.0,2,0,0
12.0,1569400562274.0,2,0,0
11.0,1569400562726.0,2,0,0
